ingredient_name,canonical_name,afcd_food_key,afcd_food_name,afcd_match_score,nutrition_basis,energy_kj,energy_kcal,protein_g,fat_total_g,carbohydrates_g,sugars_g,fibre_g,sodium_mg,cpi_category,latest_cpi_period,latest_cpi_index,cpi_monthly_pct_change,cpi_annual_pct_change,foodkeeper_product_id,foodkeeper_name,foodkeeper_subtitle,expiry_match_score,pantry_min_days,pantry_max_days,refrigerate_min_days,refrigerate_max_days,freeze_min_days,freeze_max_days
a original sauce,original sauce,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
a steak sauce,steak sauce,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
abalone steak,abalone steak,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
absinthe,absinthe,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
absolut citron vodka,absolut citron vodka,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
absolut kurant vodka,absolut kurant vodka,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
absolut mandarin vodka,absolut mandarin vodka,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
absolut vodka,absolut vodka,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
aburage,aburage,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
accent seasoning,accent seasoning,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
aceto balsamico,aceto balsamico,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
achar,achar,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
achiote,achiote,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
achiote oil,achiote oil,,,,,,,,,,,,,Oils and fats,2026-02-01,99.68,1.01,-1.19,,,,,,,,,,
achiote paste,achiote paste,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
achiote paste cubes,achiote paste cube,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
achiote powder,achiote powder,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
achiote seeds,achiote seed,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
achute water,achute water,,,,,,,,,,,,,"Waters, soft drinks and juices",2026-02-01,100.89,0.99,-0.54,,,,,,,,,,
acid blend,acid blend,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
acini di pepe pasta,acini di pepe pasta,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
ackee,ackee,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
acorn,acorn,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
acorn meal,acorn meal,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
acorn squash,acorn squash,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
acorns,acorn,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
active dry yeast,active yeast,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
active starter,active starter,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
adobo sauce,adobo sauce,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
adobo seasoning,adobo seasoning,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
adolph s meat tenderizer,adolph meat tenderizer,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
advieh e polo,advieh polo,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
advocaat,advocaat,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
adzuki beans,adzuki bean,F000431,"Bean, green, fresh, raw",0.625,per_100_g,106.0,25.33,1.8,0.0,3.3,2.6,2.8,0.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
african bird pepper,african bird pepper,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
after dinner mints,after dinner mint,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
agar,agar,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
agar agar,agar agar,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
agar agar flakes,agar agar flake,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
agave,agave,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
agave nectar,agave nectar,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
agave syrup,agave syrup,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
aged cheddar cheese,aged cheddar cheese,F002414,"Cheese, cheddar, natural, regular fat",0.625,per_100_g,1686.0,402.96,24.6,33.4,0.3,0.3,0.0,686.0,Cheese,2026-02-01,100.16,-0.63,-0.12,,,,,,,,,,
aged white cheddar cheese,aged cheddar cheese,F002414,"Cheese, cheddar, natural, regular fat",0.625,per_100_g,1686.0,402.96,24.6,33.4,0.3,0.3,0.0,686.0,Cheese,2026-02-01,100.16,-0.63,-0.12,,,,,,,,,,
aguardiente,aguardiente,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
agwa cocoa herbal liqueur,agwa cocoa herbal liqueur,,,,,,,,,,,,,"Coffee, tea and cocoa",2026-02-01,100.32,-0.14,11.38,,,,,,,,,,
ahi,ahi,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
ahi fillets,ahi fillet,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
ahi tuna steaks,ahi tuna steak,,,,,,,,,,,,,Fish and other seafood,2026-02-01,101.13,-0.61,1.5,,,,,,,,,,
ahmed brand vermicelli,ahmed brand vermicelli,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
aioli,aioli,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,670,Aioli,homemade,1.0,,,3,4,,
aji bell peppers,aji bell pepper,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
aji no moto,aji moto,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
aji panca chile,aji panca chile,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
aji panca chilies,aji panca chily,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
aji yellow paste,aji paste,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
ajies dulces,ajy dulce,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
ajinomoto,ajinomoto,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
ajmoh seeds,ajmoh seed,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
ajvar,ajvar,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
ajwain,ajwain,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
ajwain seed,ajwain seed,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
albacore tuna,albacore tuna,,,,,,,,,,,,,Fish and other seafood,2026-02-01,101.13,-0.61,1.5,,,,,,,,,,
albacore tuna in water,albacore tuna water,F009300,"Tuna, unflavoured, canned in water, drained",0.625,per_100_g,540.0,129.06,26.1,2.6,0.0,0.0,0.0,250.0,Fish and other seafood,2026-02-01,101.13,-0.61,1.5,,,,,,,,,,
alcaparrado,alcaparrado,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
alcohol,alcohol,F002955,"Cider, apple (alcohol ~4-5% v/v)",0.833,per_100_ml,211.0,50.43,0.0,0.0,5.6,5.6,0.0,3.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
ale,ale,F008411,"Soft drink, dry ginger ale or ginger beer, regular",0.786,per_100_ml,164.0,39.2,0.0,0.0,10.2,10.2,0.0,7.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
ale soft drink,ale soft drink,F008411,"Soft drink, dry ginger ale or ginger beer, regular",0.857,per_100_ml,164.0,39.2,0.0,0.0,10.2,10.2,0.0,7.0,"Waters, soft drinks and juices",2026-02-01,100.89,0.99,-0.54,,,,,,,,,,
aleppo pepper,aleppo pepper,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
alfalfa,alfalfa,F008803,"Sprout, alfalfa, fresh, raw",0.875,per_100_g,91.0,21.75,3.2,0.3,0.5,0.5,2.2,39.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
alfalfa sprout,alfalfa sprout,F008803,"Sprout, alfalfa, fresh, raw",1.0,per_100_g,91.0,21.75,3.2,0.3,0.5,0.5,2.2,39.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
alfalfa sprouts,alfalfa sprout,F008803,"Sprout, alfalfa, fresh, raw",1.0,per_100_g,91.0,21.75,3.2,0.3,0.5,0.5,2.2,39.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
alfredo noodles mix,alfredo noodle mix,F008661,"Soup, vegetable & noodle, instant dry mix",0.6,per_100_g,1514.0,361.86,8.7,6.3,65.5,16.0,3.9,2030.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
alfredo sauce,alfredo sauce,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
alfredo sauce mix,alfredo sauce mix,F006409,"Pasta in cream based sauce, dry mix",0.6,per_100_g,1546.0,369.5,13.1,3.1,69.7,9.3,3.6,690.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,358,Sauce mixes,"nondairy (spaghetti, taco, etc.)",0.88,730,730,,,,
alfredo sauce with parmesan cheese,alfredo sauce parmesan cheese,,,,,,,,,,,,,Cheese,2026-02-01,100.16,-0.63,-0.12,,,,,,,,,,
alize gold passion liqueur,alize gold passion liqueur,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
alize red passion liqueur,alize passion liqueur,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
all beef wieners,all beef wiener,F000473,"Beef, all cuts, separable fat, raw",0.625,per_100_g,2478.0,592.26,12.1,61.4,0.0,0.0,0.0,25.0,Beef and veal,2026-02-01,106.6,0.99,13.51,,,,,,,,,,
all bran cereal,all bran cereal,F001829,"Breakfast cereal, wheat bran, pellets, added vitamins & minerals (Kellogg's All Bran)",0.833,per_100_g,1348.0,322.18,14.2,5.0,41.7,15.4,27.3,390.0,Breakfast cereals,2026-02-01,104.44,-0.32,4.37,,,,,,,,,,
all bran cereal with raisins,all bran cereal raisin,F001829,"Breakfast cereal, wheat bran, pellets, added vitamins & minerals (Kellogg's All Bran)",0.646,per_100_g,1348.0,322.18,14.2,5.0,41.7,15.4,27.3,390.0,Breakfast cereals,2026-02-01,104.44,-0.32,4.37,,,,,,,,,,
all bran extra fiber cereal,all bran fiber cereal,F001829,"Breakfast cereal, wheat bran, pellets, added vitamins & minerals (Kellogg's All Bran)",0.646,per_100_g,1348.0,322.18,14.2,5.0,41.7,15.4,27.3,390.0,Breakfast cereals,2026-02-01,104.44,-0.32,4.37,,,,,,,,,,
all fruit jam,all fruit jam,F004607,"Jam, stone fruit",0.667,per_100_g,1050.0,250.96,0.2,0.0,64.4,64.3,0.9,14.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
all fruit preserves,all fruit preserve,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
all purpose flour,all purpose flour,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
all purpose greek seasoning,all purpose greek seasoning,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
all purpose white flour,all purpose flour,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
all purpose wine yeast,all purpose wine yeast,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
allegro marinade,allegro marinade,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
alligator meat,alligator meat,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
alligator sausage,alligator sausage,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
alligator tail steaks,alligator tail steak,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
allspice,allspice,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
allspice berries,allspice berry,,,,,,,,,,,,,Fruit,2026-02-01,103.79,1.91,3.73,,,,,,,,,,
allspice berry,allspice berry,,,,,,,,,,,,,Fruit,2026-02-01,103.79,1.91,3.73,,,,,,,,,,
allwhites egg whites,allwhite egg white,,,,,,,,,,,,,Eggs,2026-02-01,97.39,0.8,3.34,,,,,,,,,,
almond bark,almond bark,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond breeze non dairy beverage,almond breeze non dairy beverage,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond brickle chips,almond brickle chip,,,,,,,,,,,,,Snacks and confectionery,2026-02-01,101.35,-1.66,6.65,,,,,,,,,,
almond butter,almond butter,F001973,"Butter, plain, salted",0.625,per_100_g,3069.0,733.51,1.1,82.2,0.6,0.6,0.0,776.0,Oils and fats,2026-02-01,99.68,1.01,-1.19,466,Almond butter,,1.0,365,365,,,,
almond cookie,almond cookie,,,,,,,,,,,,,Cakes and biscuits,2026-02-01,99.93,-2.62,1.23,,,,,,,,,,
almond cookies,almond cooky,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond emulsion,almond emulsion,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond essence,almond essence,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond extract,almond extract,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,527,Almond extract,,1.0,730,730,,,,
almond filling,almond filling,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond flavored liqueur,almond liqueur,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond flavoring,almond flavoring,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond flour,almond flour,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond granola,almond granola,,,,,,,,,,,,,Breakfast cereals,2026-02-01,104.44,-0.32,4.37,,,,,,,,,,
almond halve,almond halve,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond halves,almond halve,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond joy candy bars,almond joy candy bar,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond liqueur,almond liqueur,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond meal,almond meal,F006077,"Nut, almond meal",0.917,per_100_g,2386.0,570.27,19.7,50.5,5.4,5.2,11.0,0.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond milk,almond milk,,,,,,,,,,,,,Milk,2026-02-01,100.54,-0.82,3.66,427,Almond milk,,1.0,,,,,,
almond oil,almond oil,F006154,"Oil, almond",1.0,per_100_g,3700.0,884.32,0.0,100.0,0.0,0.0,0.0,0.0,Oils and fats,2026-02-01,99.68,1.01,-1.19,521,Almond oil,,1.0,365,365,730,730,,
almond paste,almond paste,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond powder,almond powder,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond stuffed green olives,almond stuffed olive,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond syrup,almond syrup,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almond toffee bits,almond toffee bit,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
almonds,almond,F006154,"Oil, almond",0.875,per_100_ml,3404.0,813.58,0.0,92.0,0.0,0.0,0.0,0.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,437,Almonds,shell,1.0,180,180,480,480,600,600
aloe juice,aloe juice,,,,,,,,,,,,,"Waters, soft drinks and juices",2026-02-01,100.89,0.99,-0.54,,,,,,,,,,
aloe vera gel,aloe vera gel,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
alouette spinach artichoke spreadable cheese,alouette spinach artichoke spreadable cheese,,,,,,,,,,,,,Cheese,2026-02-01,100.16,-0.63,-0.12,,,,,,,,,,
alpha bits cereal,alpha bit cereal,,,,,,,,,,,,,Breakfast cereals,2026-02-01,104.44,-0.32,4.37,,,,,,,,,,
alphabet pasta,alphabet pasta,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
alphabet pasta and vegetable soup,alphabet pasta vegetable soup,,,,,,,,,,,,,Vegetables,2026-02-01,100.19,-1.55,0.49,629,Vegetable soup,homemade,0.88,,,3,4,90,90
alphonso mangoes,alphonso mangoe,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
alpine lace reduced fat cooked ham,alpine lace ham,,,,,,,,,,,,,Pork,2026-02-01,100.87,0.09,0.53,,,,,,,,,,
alpine lace reduced fat swiss cheese,alpine lace swis cheese,,,,,,,,,,,,,Cheese,2026-02-01,100.16,-0.63,-0.12,,,,,,,,,,
alum,alum,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
aluminum foil,aluminum foil,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amaranth,amaranth,F000061,"Amaranth, grain, whole, uncooked",0.875,per_100_g,1527.0,364.96,15.2,6.4,55.6,3.8,11.1,2.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,575,Amaranth,whole grain,1.0,120,120,,,240,240
amaranth flour,amaranth flour,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,576,Amaranth,"flour, meal",0.917,60,60,,,120,120
amaranth grain,amaranth grain,F000061,"Amaranth, grain, whole, uncooked",1.0,per_100_g,1527.0,364.96,15.2,6.4,55.6,3.8,11.1,2.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,575,Amaranth,whole grain,0.97,120,120,,,240,240
amaretti,amaretti,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amaretti cookie,amaretti cookie,,,,,,,,,,,,,Cakes and biscuits,2026-02-01,99.93,-2.62,1.23,,,,,,,,,,
amaretti cookie crumbs,amaretti cookie crumb,,,,,,,,,,,,,Cakes and biscuits,2026-02-01,99.93,-2.62,1.23,,,,,,,,,,
amaretti cookies,amaretti cooky,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amarettinis,amarettini,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amaretto,amaretto,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amaretto cookies,amaretto cooky,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amaretto cream liqueur,amaretto cream liqueur,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amaretto di saronno liqueur,amaretto di saronno liqueur,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amaretto flavored coffee,amaretto coffee,,,,,,,,,,,,,"Coffee, tea and cocoa",2026-02-01,100.32,-0.14,11.38,,,,,,,,,,
amaretto flavored coffee creamer,amaretto coffee creamer,,,,,,,,,,,,,"Coffee, tea and cocoa",2026-02-01,100.32,-0.14,11.38,8,Coffee creamer,liquid refrigerated,0.88,,,21,21,,
amaretto flavored nondairy liquid creamer,amaretto nondairy liquid creamer,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amaretto liqueur,amaretto liqueur,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amaretto syrup,amaretto syrup,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amarula cream liqueur,amarula cream liqueur,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amber beer,amber beer,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amber rum,amber rum,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amchoor powder,amchoor powder,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amchur,amchur,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amchur powder,amchur powder,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
american cheese,american cheese,,,,,,,,,,,,,Cheese,2026-02-01,100.16,-0.63,-0.12,,,,,,,,,,
american cheese spread,american cheese spread,,,,,,,,,,,,,Cheese,2026-02-01,100.16,-0.63,-0.12,,,,,,,,,,
amish batter,amish batter,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amish starter,amish starter,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
ammonia,ammonia,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
amul paneer,amul paneer,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
anaheim chili,anaheim chili,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
anaheim chilies,anaheim chily,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
anasazi beans,anasazi bean,F000431,"Bean, green, fresh, raw",0.625,per_100_g,106.0,25.33,1.8,0.0,3.3,2.6,2.8,0.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
ancho chili,ancho chili,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
ancho chili puree,ancho chili puree,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
ancho chilies,ancho chily,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
anchovies,anchovy,F000074,"Anchovy, canned in oil, drained",0.833,per_100_g,762.0,182.12,25.4,8.9,0.0,0.0,0.0,5480.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,673,Anchovies,canned,1.0,1825,1825,,,60,60
anchovies packed in oil,anchovy packed oil,F000074,"Anchovy, canned in oil, drained",0.667,per_100_g,762.0,182.12,25.4,8.9,0.0,0.0,0.0,5480.0,Oils and fats,2026-02-01,99.68,1.01,-1.19,,,,,,,,,,
anchovy,anchovy,F000074,"Anchovy, canned in oil, drained",0.833,per_100_g,762.0,182.12,25.4,8.9,0.0,0.0,0.0,5480.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,673,Anchovies,canned,1.0,1825,1825,,,60,60
anchovy essence,anchovy essence,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
anchovy fillet,anchovy fillet,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
