ingredient_name,canonical_name,afcd_food_key,afcd_food_name,afcd_match_score,nutrition_basis,energy_kj,energy_kcal,protein_g,fat_total_g,carbohydrates_g,sugars_g,fibre_g,sodium_mg,cpi_category,latest_cpi_period,latest_cpi_index,cpi_monthly_pct_change,cpi_annual_pct_change,foodkeeper_product_id,foodkeeper_name,foodkeeper_subtitle,expiry_match_score,pantry_min_days,pantry_max_days,refrigerate_min_days,refrigerate_max_days,freeze_min_days,freeze_max_days
dried calimyrna fig,calimyrna fig,F003832,"Fig, dried",0.625,per_100_g,1082.0,258.6,3.6,0.7,54.5,52.6,14.3,39.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried calimyrna figs,calimyrna fig,F003832,"Fig, dried",0.625,per_100_g,1082.0,258.6,3.6,0.7,54.5,52.6,14.3,39.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried cannellini beans,cannellini bean,F000431,"Bean, green, fresh, raw",0.625,per_100_g,106.0,25.33,1.8,0.0,3.3,2.6,2.8,0.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried carrots,carrot,F002266,"Carrot, baby, peeled, fresh, raw",0.833,per_100_g,134.0,32.03,0.7,0.1,5.5,5.5,3.3,51.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,279,"Carrots, parsnips",,0.93,,,14,21,300,360
dried cascabel chiles,cascabel chile,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried cayenne pepper,cayenne pepper,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried cayenne peppers,cayenne pepper,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried celery flakes,celery flake,F002390,"Celery, fresh, raw",0.625,per_100_g,74.0,17.69,0.6,0.1,1.8,1.8,1.6,90.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried celery leaves,celery leave,F002390,"Celery, fresh, raw",0.625,per_100_g,74.0,17.69,0.6,0.1,1.8,1.8,1.6,90.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried cepes,cepe,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried chamomile,chamomile,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried cherries,cherry,F002522,"Cherry, raw",1.0,per_100_g,308.0,73.61,1.1,0.0,15.2,15.2,1.4,0.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,483,Cherries,,1.0,,,2,3,240,360
dried chervil,chervil,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried chestnuts,chestnut,F006095,"Nut, chestnut, raw, unsalted",0.875,per_100_g,727.0,173.76,3.4,0.2,32.1,3.3,14.9,1.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried chile de arbol,chile de arbol,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried chile pequins,chile pequin,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
